id,struttura,sede,categoria,vecchio_verdict,preliminary_verdict,nuovo_verdict,sito,identity_status,crawl_complete,pagine,documento,compagnia,numero_polizza,motivazione,score,errori,legacy_class,origin,reviewer,reviewed_at,entity_correct,website_correct,identity_correct,document_belongs_to_entity,verdict_correct,commercial_value_real,false_positive,false_negative,critical_contamination,notes
cmqo8aope002qaa3vugvq0qy3,Studio Ultreia,Frattaminore (Campania),,PUBLISHED,REVIEW,PUBLISHED,http://www.studioultreia.it/,INSUFFICIENT,false,0,,,,[V:PUB] Polizza trovata su portale regionale/ASL; sito web non raggiungibile. [Portale istituzionale: https://clinicalpractice.it/blog/post/obblighi-assicurativi-dei-medici-breve-vademecum] Polizza RC pubblicata sul sito ma scaduta da 3396 giorni. Art. 10 L. 24/2017 richiede pubb,,,PUBLICATION_CONFIRMED,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqm88tu5000ejc3mmdves99n,Genesis Day Surgery Caserta,Riardo (Campania),,PUBLISHED,REVIEW,PUBLISHED,http://www.iatropolis.it/,OFFICIAL_CONFIRMED,false,3,policy_signal,AmTrust,RCI00010000451,[V:PUB] Polizza RC certificata in sezione Amministrazione Trasparente (HTML). e ai numeri: 0823/325388 - 335/1053833 Assicurazione per la Responsabilità Civile delle Strutture Sanitarie Private sottoscritta con AMTRUST Istituti Clinici con polizza n. RCI00010000451 Informativa su,,,PUBLICATION_CONFIRMED,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqmc3zd900689g5chgvzf53q,Madera Servizi Sanitari Diagnostici Integrati,Montesarchio (Campania),,REVIEW,REVIEW,PUBLISHED,http://maderaservizisanitari.it/,INSUFFICIENT,false,0,,,,[V:PUB] Polizza trovata su portale regionale/ASL; sito web non raggiungibile. [Portale istituzionale: https://www.mioassicuratore.it/approfondimenti/rc-professionale/legge-gelli-bianco-medici-sanitari-2026] Polizza RC pubblicata sul sito ma scaduta da 3425 giorni. Art. 10 L. 24/2,,,,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqn0oc2s0007zfo7tgb8ifga,Laboratorio Analisi Cliniche Dr.Ssa Rocco,Baronissi (Campania),,HOT,REVIEW,REVIEW,https://www.analisiclinicherocco.com/,INSUFFICIENT,false,15,,,,[V:REV] Portale regionale/ASL: possibile polizza ma PDF RC non sul sito — verifica manuale. [Portale istituzionale: https://aslsalerno.etrasparenza.it/archiviofile/aslsalerno/utente4557/patologia%20clinica%202022/102700%20Laboratorio%20Analisi%20Rocco%20anno%202022.pdf] Tra le pr,,,POSSIBLE_NEW_FALSE_NEGATIVE,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmql4d392000pc9w7usrn62m5,Casa Anziani Cameo ONLUS Aversa Campania- Gruppo Appartamento,San Cipriano d'Aversa (Campania),,HOT,REVIEW,REVIEW,http://www.coopcameo.it/,INSUFFICIENT,false,41,,,,"[V:REV] Crawl incompleto: 42 URL rilevanti falliti. Sito: polizza non pubblicata in Trasparenza. Portali ASL/regionali: confermata assenza pubblicazione. [EV_V:2 VD_V:2 LEGACY:CURRENT] — [FONTI: sito web (41 pagine: /, /) · PDF polizza letti 0/0 · portali regionali/ASL (7 ricerch",,,POSSIBLE_NEW_FALSE_NEGATIVE,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqpb2tgb000682aabzqgrr6p,Villa Nonna Carmelina,Tufino (Campania),,HOT,REVIEW,REVIEW,https://www.villanonnacarmelina.it/,INSUFFICIENT,false,33,,,,[V:REV] Portale regionale/ASL: possibile polizza ma PDF RC non sul sito — verifica manuale. [Portale istituzionale: https://ntplusdiritto.ilsole24ore.com/art/gelli-bianchi-requisiti-minimi-garanzia-polizze-assicurative-obbligatorie-AFHDDQ1C] Polizza RC pubblicata sul sito ma scad,,,POSSIBLE_NEW_FALSE_NEGATIVE,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqobbuxl003eaa3vum7v9l8v,Dott. Abdur Rahman Mohd Ayed,Grottaminarda (Campania),,HOT,REVIEW,REVIEW,http://www.studioagopuntura.net/,OFFICIAL_CONFIRMED,false,22,,,,"[V:REV] Crawl incompleto: 42 URL rilevanti falliti. Sito: polizza non pubblicata in Trasparenza. Portali ASL/regionali: confermata assenza pubblicazione. [EV_V:2 VD_V:2 LEGACY:CURRENT] [IDENTITY:OFFICIAL_CONFIRMED] [CRAWL_COMPLETE:false] — [FONTI: sito web (22 pagine: /, /cart) ·",,,POSSIBLE_NEW_FALSE_NEGATIVE,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqp6x5he0005qaqsr0d278sm,Villa Sant'antimo,Recale (Campania),,HOT,REVIEW,REVIEW,https://www.villasantantimo.it/,OFFICIAL_CONFIRMED,true,294,,,,[V:REV] Portale regionale/ASL: possibile polizza ma PDF RC non sul sito — verifica manuale. [Portale istituzionale: https://ius.giuffrefl.it/dettaglio/6294423/gli-obblighi-assicurativi-di-strutture-e-professionisti-sanitari-previsti-dallart-10-della-legge-gelli] Polizza RC pubbli,,,LIKELY_PREVIOUS_FALSE_POSITIVE,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqmano01002n9g5c9h0qjxhl,Villa Fiorita Aversa S.R.L.,Villa Literno (Campania),,HOT,REVIEW,REVIEW,https://clinicavillafiorita.it/,OFFICIAL_CONFIRMED,false,50,,,,"[V:REV] Portale regionale/ASL: possibile polizza ma PDF RC non sul sito — verifica manuale. [Portale istituzionale: https://ntplusdiritto.ilsole24ore.com/art/gelli-bianchi-requisiti-minimi-garanzia-polizze-assicurative-obbligatorie-AFHDDQ1C] # Gelli-Bianchi, i requisiti minimi di",,,POSSIBLE_NEW_FALSE_NEGATIVE,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqp623lx0001129ik68clq1n,Casa di Cura Nostra Signora di Lourdes,Massa di Somma (Campania),,HOT,REVIEW,REVIEW,http://www.clinicalourdes.it/,OFFICIAL_CONFIRMED,false,328,,,,[V:REV] Portale regionale/ASL: possibile polizza ma PDF RC non sul sito — verifica manuale. [Portale istituzionale: https://www.mioassicuratore.it/approfondimenti/rc-professionale/legge-gelli-bianco-medici-sanitari-2026] # Legge Gelli-Bianco: Cosa Cambia per Medici e Sanitari. La,,,POSSIBLE_NEW_FALSE_NEGATIVE,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmql4d399000uc9w7yzw2dgac,Casa di Cura 'Andrea Grimaldi',Scala (Campania),,PUBLISHED,REVIEW,REVIEW,http://www.andreagrimaldi.com/,MISMATCH,false,490,,,,"[V:REV] Contaminazione critica identità: Città sul sito (Firenze) diversa da Scala — omonimia o URL errato. Polizza RC certificata da PDF: https://www.andreagrimaldi.com/wp-content/uploads/2026/03/all-ms-6-parm-x-anno-2025-clinica.pdf ni del territorio. La Legge 24/2017, conosciu",,,IDENTITY_PROBLEM,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqmaf02a001k9g5crmkdun0w,Medicanova,Bellizzi (Campania),,HOT,REVIEW,REVIEW,http://www.medicanova.it/,OFFICIAL_CONFIRMED,true,218,,,,[V:REV] Portale regionale/ASL: possibile polizza ma PDF RC non sul sito — verifica manuale. [Portale istituzionale: https://www.minopolibroker.it/convenzioni/convenzione-polizza-assicurativa-responsabilita-civile-medici] Polizza RC pubblicata sul sito ma scaduta da 3464 giorni. A,,,LIKELY_PREVIOUS_FALSE_POSITIVE,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqmd91ay008v9g5ce94y0cro,Clinica Vesuvio,Brusciano (Campania),,HOT,REVIEW,REVIEW,https://www.clinicavesuvio.com/,MISMATCH,false,58,,,,[V:REV] Contaminazione critica identità: Contenuti tipici di hotel/turismo — sito non sanitario (URL Maps errato). Polizza su dominio alternativo https://www.clinicavesuvio.com/ (Maps aveva https://www.clinicavesuvio.it/). Polizza RC certificata in sezione Amministrazione Traspar,,,IDENTITY_PROBLEM,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqpc51r40007d5jk81x3l73e,Casa Di Cura San Vincenzo,Villaricca (Campania),,HOT,REVIEW,REVIEW,https://www.vincenzo.com/,OFFICIAL_CONFIRMED,true,53,,,,[V:REV] Crawl sito non esaustivo — impossibile certificare assenza polizza (Art. 10). Sito: polizza non pubblicata in Trasparenza. Portali ASL/regionali: confermata assenza pubblicazione. [EV_V:2 VD_V:2 LEGACY:CURRENT] [IDENTITY:OFFICIAL_CONFIRMED] [CRAWL_COMPLETE:true] — [FONTI:,,,LIKELY_PREVIOUS_FALSE_POSITIVE,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqn2xibr000mmhc2lnqo0a18,Amica Life - Residenza Anziani a Santa Maria Capua Vetere,Santa Maria Capua Vetere (Campania),,HOT,REVIEW,REVIEW,http://www.amicalife.it/residenza-anziani-santa-maria-capua-vetere,OFFICIAL_CONFIRMED,false,20,,,,[V:REV] Crawl incompleto: sitemap DISCOVERED_PARTIAL; 42 URL rilevanti falliti. Sito: polizza non pubblicata in Trasparenza. Portali ASL/regionali: confermata assenza pubblicazione. [EV_V:2 VD_V:2 LEGACY:CURRENT] [IDENTITY:OFFICIAL_CONFIRMED] [CRAWL_COMPLETE:false] — [FONTI: sito,,,POSSIBLE_NEW_FALSE_NEGATIVE,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqohi45s005haa3vwwhe6e8v,CASA DI CURA SANTA MARIA DI LEUCA,Monteverde (Campania),,HOT,REVIEW,REVIEW,https://clinicasantamariadileuca.it/,MISMATCH,false,211,,,,[V:REV] Portale regionale/ASL: possibile polizza ma PDF RC non sul sito — verifica manuale. [Portale istituzionale: https://www.mioassicuratore.it/approfondimenti/rc-professionale/legge-gelli-bianco-medici-sanitari-2026] Polizza RC pubblicata sul sito ma scaduta da 2786 giorni. A,,,IDENTITY_PROBLEM,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqobynqm003taa3v0mx062fg,Nuovo Centro FKT,Lauro (Campania),,HOT,REVIEW,REVIEW,https://nuovocentrofkt.it/,OFFICIAL_CONFIRMED,false,28,,AXA,402994970,[V:HOT] Polizza RC pubblicata sul sito ma scaduta da 848 giorni — Art. 10 richiede aggiornamento. [EV_V:2 VD_V:2 LEGACY:CURRENT] [IDENTITY:OFFICIAL_CONFIRMED] [CRAWL_COMPLETE:false] — [DOCS: https://nuovocentrofkt.it/wp-content/uploads/2023/11/Assicurazione.pdf] [FONTI: sito web ,,,POSSIBLE_NEW_FALSE_NEGATIVE,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqp4jq7r0007w0r0mnymzj78,Policlinico San Marco,Zingonia (Campania),,REVIEW,REVIEW,REVIEW,https://www.policlinicosanmarco.it/,MISMATCH,false,153,,,,[V:REV] Contaminazione critica identità: Città sul sito (VENEZIA) diversa da Zingonia — omonimia o URL errato. Polizza RC certificata da PDF: https://www.policlinicosanmarco.it/wp-content/uploads/2023/10/SCHEDA_POLIZZA_2023_1.pdf .it POLICLINICO SAN MARCO SPA Legge 08/03/2017 n. ,,,,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqmd91b1008x9g5c65uk9quh,Casa Di Cura Meluccio S.R.L.,Pomigliano d'Arco (Campania),,REVIEW,REVIEW,REVIEW,https://clinicaios.it/,MISMATCH,false,118,,,,[V:REV] Portale regionale/ASL: possibile polizza ma PDF RC non sul sito — verifica manuale. [Portale istituzionale: https://www.mioassicuratore.it/approfondimenti/rc-professionale/legge-gelli-bianco-medici-sanitari-2026] Polizza RC pubblicata sul sito ma scaduta da 2786 giorni. A,,,,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqktyimz000i111hygme29nh,, (Campania),,?,REVIEW,REVIEW,,INSUFFICIENT,false,,,,,HARD_TIMEOUT:90000,,HARD_TIMEOUT:90000,,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,TECH_FAILURE
cmqogn8pf004xaa3v5fdfl0sz,"Cliniche Dentali DocPoint ""Salerno"" e ""Torre Pontina"" di Latina",Pagliarone (Campania),,REVIEW,REVIEW,REVIEW,,INSUFFICIENT,false,0,,,,[SHADOW_HIST_VERDICT:REVIEW] [V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubbl,,,,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmql46eh10001c9w71kvkqhu9,Residenza Albergo per anziani Stella,Acerno (Campania),,REVIEW,REVIEW,REVIEW,,INSUFFICIENT,false,0,,,,[SHADOW_HIST_VERDICT:REVIEW] [V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubbl,,,,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqo74rz8002laa3veviduo8k,Ischia Cinetic Center,Forio (Campania),,REVIEW,REVIEW,REVIEW,,INSUFFICIENT,false,0,,,,[SHADOW_HIST_VERDICT:REVIEW] [V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubbl,,,,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqp623mi0005129i3kgrkidz,Fisioterapia Con..te Dott.Ssa Conte Rosanna,San Valentino Torio (Campania),,REVIEW,REVIEW,REVIEW,,INSUFFICIENT,false,0,,,,[SHADOW_HIST_VERDICT:REVIEW] [V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubbl,,,,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqp9r0lc0006xk289s9h9hql,S I D Servizi Infermieristici Domiciliari Soc. Coop.Va A R.L.,Sturno (Campania),,REVIEW,REVIEW,REVIEW,,INSUFFICIENT,false,0,,,,[SHADOW_HIST_VERDICT:REVIEW] [V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubbl,,,,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,